# model,J,L,skin_fm,r_p,r_n,r_ch,BE_per_A,converged
BigApple,26.50,58.75,0.18126,3.37366,3.55493,3.45321,-8.6197,1
BigApple,26.50,82.50,0.19167,3.36511,3.55678,3.44485,-8.6984,1
BigApple,26.50,106.25,0.18889,3.44103,3.62991,3.51905,-8.2868,1
BigApple,26.50,130.00,0.19365,3.34027,3.53392,3.42059,-8.9076,1
BigApple,31.00,35.00,0.15563,3.39249,3.54812,3.47161,-8.3819,1
BigApple,31.00,58.75,0.19523,3.37100,3.56623,3.45061,-8.5335,1
BigApple,31.00,82.50,0.19866,3.43655,3.63521,3.51467,-8.2054,1
BigApple,31.00,106.25,0.20421,3.43746,3.64167,3.51556,-8.2120,1
BigApple,31.00,130.00,0.21324,3.31746,3.53070,3.39832,-8.9413,1
BigApple,35.50,35.00,0.18330,3.38880,3.57210,3.46800,-8.2874,1
BigApple,35.50,58.75,0.20033,3.42249,3.62282,3.50093,-8.1737,1
BigApple,35.50,82.50,0.21205,3.43494,3.64699,3.51310,-8.1243,1
BigApple,35.50,106.25,0.22729,3.23606,3.46336,3.31891,-9.3333,1
BigApple,35.50,130.00,0.22093,3.42997,3.65090,3.50824,-8.1791,1
BigApple,40.00,35.00,0.20341,3.38425,3.58766,3.46355,-8.2169,1
BigApple,40.00,58.75,0.21445,3.42134,3.63580,3.49981,-8.0902,1
BigApple,40.00,82.50,0.22499,3.43390,3.65889,3.51208,-8.0445,1
BigApple,40.00,106.25,0.23054,3.43398,3.66451,3.51216,-8.0634,1
BigApple,40.00,130.00,0.23937,3.34901,3.58838,3.42913,-8.5821,1
BigApple,43.00,35.00,0.21543,3.38209,3.59752,3.46145,-8.1692,1
BigApple,43.00,58.75,0.22384,3.42082,3.64466,3.49930,-8.0358,1
BigApple,43.00,82.50,0.23352,3.43344,3.66696,3.51164,-7.9923,1
BigApple,43.00,106.25,0.23882,3.43336,3.67219,3.51156,-8.0140,1
BigApple,43.00,130.00,0.24775,3.34824,3.59599,3.42838,-8.5336,1
FSUGarnet,26.50,50.00,0.14147,3.37476,3.51624,3.45429,-8.5755,1
FSUGarnet,26.50,70.00,0.18414,3.34714,3.53128,3.42730,-8.6825,1
FSUGarnet,26.50,90.00,0.19257,3.32138,3.51395,3.40215,-8.8453,1
FSUGarnet,26.50,110.00,0.19683,3.35079,3.54763,3.43087,-8.7091,1
FSUGarnet,26.50,130.00,0.19883,3.35220,3.55103,3.43224,-8.7222,1
FSUGarnet,31.00,50.00,0.16305,3.35703,3.52008,3.43697,-8.5167,1
FSUGarnet,31.00,70.00,0.19526,3.34623,3.54149,3.42642,-8.5893,1
FSUGarnet,31.00,90.00,0.20654,3.33515,3.54170,3.41560,-8.6594,1
FSUGarnet,31.00,110.00,0.21182,3.33306,3.54489,3.41356,-8.6877,1
FSUGarnet,31.00,130.00,0.21521,3.34503,3.56024,3.42524,-8.6528,1
FSUGarnet,35.50,50.00,0.17919,3.35404,3.53323,3.43404,-8.4285,1
FSUGarnet,35.50,70.00,0.20612,3.34581,3.55194,3.42601,-8.4978,1
FSUGarnet,35.50,90.00,0.21815,3.34101,3.55916,3.42132,-8.5433,1
FSUGarnet,35.50,110.00,0.22517,3.31522,3.54039,3.39613,-8.7053,1
FSUGarnet,35.50,130.00,0.22904,3.33380,3.56285,3.41428,-8.6119,1
FSUGarnet,40.00,50.00,0.19391,3.35220,3.54611,3.43224,-8.3407,1
FSUGarnet,40.00,70.00,0.21713,3.34282,3.55995,3.42309,-8.4200,1
FSUGarnet,40.00,90.00,0.22917,3.34085,3.57002,3.42116,-8.4582,1
FSUGarnet,40.00,110.00,0.23740,3.30718,3.54458,3.38829,-8.6734,1
FSUGarnet,40.00,130.00,0.24157,3.32441,3.56599,3.40511,-8.5780,1
FSUGarnet,43.00,50.00,0.20352,3.35135,3.55487,3.43141,-8.2829,1
FSUGarnet,43.00,70.00,0.22469,3.34286,3.56755,3.42313,-8.3614,1
FSUGarnet,43.00,90.00,0.23645,3.34097,3.57741,3.42127,-8.4019,1
FSUGarnet,43.00,110.00,0.24529,3.29856,3.54385,3.37987,-8.6816,1
FSUGarnet,43.00,130.00,0.24948,3.31870,3.56818,3.39953,-8.5580,1
IOPB-I,26.50,45.00,0.14006,3.40643,3.54649,3.48523,-8.5879,1
IOPB-I,26.50,66.25,0.18274,3.38569,3.56843,3.46496,-8.6415,1
IOPB-I,26.50,87.50,0.19311,3.36565,3.55876,3.44538,-8.7609,1
IOPB-I,26.50,108.75,0.19818,3.38999,3.58816,3.46916,-8.6646,1
IOPB-I,26.50,130.00,0.20083,3.39061,3.59144,3.46977,-8.6889,1
IOPB-I,31.00,45.00,0.16542,3.40157,3.56698,3.48048,-8.4894,1
IOPB-I,31.00,66.25,0.19440,3.38460,3.57900,3.46390,-8.5493,1
IOPB-I,31.00,87.50,0.20655,3.38036,3.58691,3.45975,-8.5873,1
IOPB-I,31.00,108.75,0.21307,3.35327,3.56634,3.43329,-8.7541,1
IOPB-I,31.00,130.00,0.21673,3.38114,3.59787,3.46052,-8.6158,1
IOPB-I,35.50,45.00,0.18292,3.39791,3.58084,3.47691,-8.4051,1
IOPB-I,35.50,66.25,0.20596,3.38395,3.58991,3.46326,-8.4593,1
IOPB-I,35.50,87.50,0.21842,3.38284,3.60126,3.46218,-8.4902,1
IOPB-I,35.50,108.75,0.22692,3.33117,3.55809,3.41171,-8.8139,1
IOPB-I,35.50,130.00,0.23081,3.36547,3.59628,3.44521,-8.6045,1
IOPB-I,40.00,45.00,0.19466,3.38278,3.57744,3.46212,-8.3415,1
IOPB-I,40.00,66.25,0.21770,3.38360,3.60131,3.46292,-8.3715,1
IOPB-I,40.00,87.50,0.22980,3.38258,3.61238,3.46192,-8.4064,1
IOPB-I,40.00,108.75,0.23715,3.38262,3.61977,3.46196,-8.4325,1
IOPB-I,40.00,130.00,0.24185,3.38398,3.62584,3.46329,-8.4561,1
IOPB-I,43.00,45.00,0.20488,3.38180,3.58668,3.46116,-8.2848,1
IOPB-I,43.00,66.25,0.22558,3.37939,3.60498,3.45881,-8.3323,1
IOPB-I,43.00,87.50,0.23736,3.38261,3.61997,3.46195,-8.3512,1
IOPB-I,43.00,108.75,0.24466,3.38418,3.62884,3.46349,-8.3781,1
IOPB-I,43.00,130.00,0.24941,3.38415,3.63356,3.46345,-8.4109,1
