# model,J,L,skin_fm,r_p,r_n,r_ch,BE_per_A,converged
BigApple,26.50,58.75,0.17467,5.42382,5.59849,5.47220,-8.0488,1
BigApple,26.50,82.50,0.19994,5.42085,5.62080,5.46926,-8.1097,1
BigApple,26.50,106.25,0.19559,5.49246,5.68804,5.54024,-7.9377,1
BigApple,26.50,130.00,0.19554,5.50198,5.69752,5.54968,-7.9503,1
BigApple,31.00,35.00,0.12667,5.43920,5.56587,5.48745,-7.7524,1
BigApple,31.00,58.75,0.20290,5.41372,5.61662,5.46220,-7.8961,1
BigApple,31.00,82.50,0.22940,5.41035,5.63975,5.45885,-7.9644,1
BigApple,31.00,106.25,0.22989,5.48036,5.71024,5.52825,-7.8024,1
BigApple,31.00,130.00,0.23338,5.48776,5.72114,5.53559,-7.8257,1
BigApple,35.50,35.00,0.16459,5.51232,5.67691,5.55994,-7.3317,1
BigApple,35.50,58.75,0.22893,5.40612,5.63505,5.45466,-7.7469,1
BigApple,35.50,82.50,0.25453,5.40311,5.65764,5.45168,-7.8210,1
BigApple,35.50,106.25,0.26854,5.40405,5.67260,5.45261,-7.8727,1
BigApple,35.50,130.00,0.26344,5.47775,5.74119,5.52566,-7.7005,1
BigApple,40.00,35.00,0.20224,5.50177,5.70401,5.54948,-7.1972,1
BigApple,40.00,58.75,0.25408,5.40023,5.65431,5.44883,-7.6010,1
BigApple,40.00,82.50,0.27788,5.39788,5.67576,5.44650,-7.6796,1
BigApple,40.00,106.25,0.29245,5.39864,5.69108,5.44725,-7.7363,1
BigApple,40.00,130.00,0.28901,5.47191,5.76092,5.51987,-7.5710,1
BigApple,43.00,35.00,0.22556,5.49959,5.72515,5.54732,-7.0961,1
BigApple,43.00,58.75,0.25975,5.50420,5.76396,5.55189,-7.1852,1
BigApple,43.00,82.50,0.29319,5.39515,5.68834,5.44379,-7.5865,1
BigApple,43.00,106.25,0.30758,5.39595,5.70353,5.44458,-7.6461,1
BigApple,43.00,130.00,0.30467,5.46949,5.77416,5.51747,-7.4838,1
FSUGarnet,26.50,50.00,0.11487,5.47974,5.59461,5.52763,-7.8723,1
FSUGarnet,26.50,70.00,0.18902,5.47536,5.66438,5.52329,-7.9236,1
FSUGarnet,26.50,90.00,0.20572,5.47710,5.68282,5.52502,-7.9647,1
FSUGarnet,26.50,110.00,0.21117,5.48139,5.69257,5.52927,-7.9924,1
FSUGarnet,26.50,130.00,0.21203,5.48983,5.70186,5.53764,-8.0005,1
FSUGarnet,31.00,50.00,0.15840,5.46224,5.62065,5.51029,-7.7231,1
FSUGarnet,31.00,70.00,0.21873,5.44245,5.66118,5.49067,-7.8255,1
FSUGarnet,31.00,90.00,0.24074,5.43929,5.68003,5.48754,-7.8773,1
FSUGarnet,31.00,110.00,0.24537,5.46969,5.71507,5.51768,-7.8583,1
FSUGarnet,31.00,130.00,0.25031,5.47180,5.72211,5.51977,-7.8906,1
FSUGarnet,35.50,50.00,0.18914,5.45232,5.64145,5.50045,-7.5688,1
