# model,J,L,skin_fm,r_p,r_n,r_ch,BE_per_A,converged,iterations
BigApple,26.50,58.75,0.17847,3.38289,3.56137,3.46223,-8.5876,1,81
BigApple,26.50,82.50,0.18966,3.37838,3.56804,3.45782,-8.6349,1,81
BigApple,26.50,106.25,0.19282,3.37742,3.57025,3.45688,-8.6596,1,81
BigApple,26.50,130.00,0.19382,3.37749,3.57131,3.45695,-8.6754,1,82
BigApple,31.00,35.00,0.15233,3.39699,3.54932,3.47600,-8.3849,1,81
BigApple,31.00,58.75,0.19259,3.38034,3.57292,3.45973,-8.5007,1,81
BigApple,31.00,82.50,0.20393,3.37572,3.57965,3.45522,-8.5530,1,81
BigApple,31.00,106.25,0.20849,3.37399,3.58248,3.45353,-8.5851,1,81
BigApple,31.00,130.00,0.21050,3.37334,3.58384,3.45289,-8.6075,1,81
BigApple,35.50,35.00,0.17993,3.38884,3.56877,3.46804,-8.3212,1,81
BigApple,35.50,58.75,0.20642,3.37831,3.58472,3.45775,-8.4171,1,81
BigApple,35.50,82.50,0.21709,3.37395,3.59104,3.45349,-8.4719,1,81
BigApple,35.50,106.25,0.22225,3.37183,3.59409,3.45142,-8.5089,1,81
BigApple,35.50,130.00,0.22493,3.37075,3.59567,3.45036,-8.5363,1,81
BigApple,40.00,35.00,0.20014,3.38452,3.58466,3.46382,-8.2494,1,81
BigApple,40.00,58.75,0.22009,3.37673,3.59683,3.45621,-8.3362,1,81
BigApple,40.00,82.50,0.22978,3.37274,3.60252,3.45230,-8.3925,1,81
BigApple,40.00,106.25,0.23505,3.37046,3.60551,3.45008,-8.4330,1,81
BigApple,40.00,130.00,0.23805,3.36910,3.60715,3.44876,-8.4640,1,81
BigApple,43.00,35.00,0.21223,3.38252,3.59475,3.46187,-8.2006,1,81
BigApple,43.00,58.75,0.22921,3.37590,3.60511,3.45540,-8.2837,1,81
BigApple,43.00,82.50,0.23816,3.37215,3.61031,3.45173,-8.3405,1,81
BigApple,43.00,106.25,0.24330,3.36985,3.61315,3.44948,-8.3828,1,81
FSUGarnet,26.50,50.00,0.14147,3.37476,3.51624,3.45429,-8.5755,1,31
FSUGarnet,26.50,70.00,0.18511,3.35550,3.54061,3.43547,-8.6691,1,28
FSUGarnet,26.50,90.00,0.19360,3.35261,3.54622,3.43265,-8.7003,1,29
FSUGarnet,26.50,110.00,0.19719,3.35209,3.54928,3.43213,-8.7159,1,29
BigApple,43.00,130.00,0.24636,3.36838,3.61474,3.44805,-8.4159,1,81
FSUGarnet,26.50,130.00,0.19904,3.35234,3.55138,3.43238,-8.7264,1,29
FSUGarnet,31.00,50.00,0.16468,3.36790,3.53258,3.44758,-8.4903,1,28
FSUGarnet,31.00,70.00,0.19630,3.35454,3.55084,3.43453,-8.5765,1,28
FSUGarnet,31.00,90.00,0.20693,3.35053,3.55746,3.43061,-8.6163,1,28
FSUGarnet,31.00,110.00,0.21218,3.34894,3.56112,3.42906,-8.6417,1,29
FSUGarnet,31.00,130.00,0.21525,3.34842,3.56366,3.42855,-8.6579,1,29
FSUGarnet,35.50,50.00,0.18089,3.36480,3.54569,3.44455,-8.4030,1,28
FSUGarnet,35.50,70.00,0.20723,3.35406,3.56129,3.43406,-8.4857,1,28
FSUGarnet,35.50,90.00,0.21866,3.34960,3.56826,3.42970,-8.5320,1,28
FSUGarnet,35.50,110.00,0.22489,3.34743,3.57231,3.42758,-8.5623,1,28
FSUGarnet,35.50,130.00,0.22872,3.34627,3.57500,3.42646,-8.5859,1,29
FSUGarnet,40.00,50.00,0.19563,3.36287,3.55850,3.44267,-8.3163,1,28
FSUGarnet,40.00,70.00,0.21831,3.35386,3.57217,3.43387,-8.3971,1,28
FSUGarnet,40.00,90.00,0.22977,3.34932,3.57909,3.42943,-8.4478,1,28
FSUGarnet,40.00,110.00,0.23649,3.34677,3.58327,3.42695,-8.4833,1,28
FSUGarnet,40.00,130.00,0.24081,3.34529,3.58610,3.42549,-8.5097,1,28
FSUGarnet,43.00,50.00,0.20523,3.36196,3.56719,3.44178,-8.2593,1,28
FSUGarnet,43.00,70.00,0.22587,3.35384,3.57971,3.43385,-8.3392,1,28
FSUGarnet,43.00,90.00,0.23708,3.34937,3.58645,3.42948,-8.3922,1,28
FSUGarnet,43.00,110.00,0.24392,3.34668,3.59060,3.42685,-8.4304,1,28
FSUGarnet,43.00,130.00,0.24843,3.34499,3.59342,3.42521,-8.4596,1,28
IOPB-I,26.50,45.00,0.13996,3.40506,3.54502,3.48389,-8.5936,1,41
IOPB-I,26.50,87.50,0.19482,3.38168,3.57650,3.46105,-8.7301,1,42
IOPB-I,26.50,66.25,0.18559,3.38502,3.57061,3.46431,-8.6959,1,41
IOPB-I,26.50,108.75,0.19858,3.38096,3.57954,3.46034,-8.7491,1,42
