# model,J,L,skin_fm,r_p,r_n,r_ch,BE_per_A,converged,iterations
BigApple,26.50,58.75,0.16835,5.46833,5.63668,5.51632,-7.9068,1,150
BigApple,26.50,106.25,0.20102,5.46108,5.66210,5.50914,-8.0328,1,170
BigApple,26.50,82.50,0.19425,5.45650,5.65076,5.50460,-7.9977,1,170
BigApple,26.50,130.00,0.20003,5.47910,5.67914,5.52700,-8.0190,1,190
BigApple,31.00,35.00,0.12257,5.46833,5.59090,5.51633,-7.6554,1,168
BigApple,31.00,58.75,0.19703,5.45877,5.65581,5.50685,-7.7533,1,150
BigApple,31.00,82.50,0.22408,5.44614,5.67022,5.49433,-7.8528,1,171
BigApple,31.00,106.25,0.23510,5.44891,5.68401,5.49708,-7.8965,1,171
BigApple,35.50,35.00,0.17047,5.46070,5.63117,5.50876,-7.4897,1,149
BigApple,35.50,82.50,0.24954,5.43921,5.68875,5.48746,-7.7091,1,171
BigApple,35.50,58.75,0.22469,5.44057,5.66526,5.48880,-7.6379,1,171
BigApple,35.50,106.25,0.26255,5.44097,5.70352,5.48921,-7.7600,1,171
BigApple,31.00,130.00,0.23978,5.45255,5.69233,5.50068,-7.9313,1,170
BigApple,35.50,130.00,0.26953,5.44363,5.71315,5.49184,-7.8010,1,170
BigApple,40.00,58.75,0.25011,5.43501,5.68512,5.48330,-7.4920,1,171
BigApple,40.00,35.00,0.20816,5.44023,5.64840,5.48847,-7.3834,1,169
BigApple,40.00,82.50,0.27313,5.43439,5.70752,5.48268,-7.5671,1,171
BigApple,40.00,106.25,0.28669,5.43579,5.72248,5.48406,-7.6238,1,171
BigApple,43.00,35.00,0.23072,5.43519,5.66591,5.48348,-7.2902,1,170
BigApple,43.00,58.75,0.26707,5.43203,5.69910,5.48035,-7.3965,1,171
BigApple,40.00,130.00,0.29318,5.44850,5.74168,5.49667,-7.6380,1,190
FSUGarnet,26.50,50.00,0.11487,5.47740,5.59227,5.52532,-7.8669,1,45
FSUGarnet,26.50,70.00,0.19490,5.44775,5.64266,5.49593,-7.9755,1,46
FSUGarnet,26.50,90.00,0.21118,5.44864,5.65982,5.49681,-8.0146,1,46
BigApple,43.00,82.50,0.28855,5.43196,5.72051,5.48027,-7.4736,1,171
BigApple,43.00,106.25,0.30193,5.43333,5.73526,5.48163,-7.5334,1,171
BigApple,43.00,130.00,0.30876,5.44585,5.75461,5.49404,-7.5511,1,191
FSUGarnet,26.50,110.00,0.21601,5.45408,5.67009,5.50220,-8.0371,1,47
FSUGarnet,26.50,130.00,0.21664,5.46040,5.67704,5.50846,-8.0541,1,47
FSUGarnet,31.00,50.00,0.15848,5.45914,5.61762,5.50722,-7.7185,1,45
FSUGarnet,31.00,70.00,0.21884,5.44057,5.65941,5.48881,-7.8198,1,46
FSUGarnet,31.00,90.00,0.24092,5.43839,5.67932,5.48665,-7.8719,1,46
FSUGarnet,31.00,110.00,0.25094,5.44087,5.69181,5.48910,-7.9062,1,46
FSUGarnet,31.00,130.00,0.25550,5.44516,5.70066,5.49336,-7.9303,1,47
FSUGarnet,35.50,50.00,0.18923,5.44930,5.63853,5.49746,-7.5645,1,45
FSUGarnet,35.50,70.00,0.24033,5.43590,5.67623,5.48418,-7.6652,1,46
FSUGarnet,35.50,90.00,0.26457,5.43270,5.69727,5.48101,-7.7266,1,46
FSUGarnet,35.50,110.00,0.27773,5.43343,5.71117,5.48173,-7.7698,1,46
FSUGarnet,35.50,130.00,0.28515,5.43597,5.72111,5.48425,-7.8028,1,46
FSUGarnet,40.00,50.00,0.21727,5.44241,5.65968,5.49063,-7.4114,1,45
FSUGarnet,40.00,70.00,0.26144,5.43260,5.69404,5.48091,-7.5126,1,46
FSUGarnet,40.00,90.00,0.28578,5.42942,5.71520,5.47776,-7.5809,1,46
FSUGarnet,40.00,110.00,0.30047,5.42930,5.72977,5.47764,-7.6314,1,46
FSUGarnet,40.00,130.00,0.30968,5.43077,5.74045,5.47909,-7.6710,1,46
FSUGarnet,43.00,50.00,0.23597,5.43876,5.67473,5.48701,-7.3105,1,45
FSUGarnet,43.00,70.00,0.27593,5.43088,5.70681,5.47920,-7.4121,1,46
FSUGarnet,43.00,90.00,0.29959,5.42802,5.72760,5.47637,-7.4841,1,46
FSUGarnet,43.00,110.00,0.31461,5.42767,5.74228,5.47602,-7.5388,1,46
FSUGarnet,43.00,130.00,0.32448,5.42870,5.75319,5.47704,-7.5824,1,46
IOPB-I,26.50,45.00,0.10632,5.53352,5.63984,5.58095,-7.8150,1,63
IOPB-I,26.50,66.25,0.18867,5.50548,5.69416,5.55316,-7.9287,1,63
IOPB-I,26.50,87.50,0.20688,5.50712,5.71400,5.55478,-7.9706,1,64
IOPB-I,26.50,108.75,0.21263,5.51367,5.72630,5.56128,-7.9936,1,64
IOPB-I,26.50,130.00,0.21366,5.52123,5.73489,5.56877,-8.0099,1,65
IOPB-I,31.00,45.00,0.15358,5.51379,5.66737,5.56140,-7.6700,1,63
IOPB-I,31.00,66.25,0.21376,5.49785,5.71160,5.54558,-7.7733,1,63
IOPB-I,31.00,87.50,0.23656,5.49698,5.73355,5.54473,-7.8275,1,64
IOPB-I,31.00,108.75,0.24703,5.50072,5.74775,5.54844,-7.8617,1,64
IOPB-I,31.00,130.00,0.25180,5.50624,5.75805,5.55391,-7.8859,1,64
IOPB-I,35.50,45.00,0.18680,5.50308,5.68989,5.55078,-7.5186,1,63
IOPB-I,35.50,66.25,0.23673,5.49259,5.72932,5.54038,-7.6199,1,63
IOPB-I,35.50,87.50,0.26088,5.49109,5.75197,5.53889,-7.6826,1,64
IOPB-I,35.50,108.75,0.27404,5.49323,5.76726,5.54101,-7.7258,1,64
IOPB-I,35.50,130.00,0.28141,5.49709,5.77849,5.54483,-7.7580,1,64
IOPB-I,40.00,45.00,0.21683,5.49562,5.71245,5.54338,-7.3674,1,62
IOPB-I,40.00,66.25,0.25936,5.48875,5.74811,5.53657,-7.4688,1,63
IOPB-I,40.00,87.50,0.28308,5.48748,5.77056,5.53531,-7.5378,1,64
IOPB-I,40.00,108.75,0.29740,5.48890,5.78629,5.53671,-7.5881,1,64
IOPB-I,40.00,130.00,0.30630,5.49173,5.79802,5.53952,-7.6272,1,64
IOPB-I,43.00,45.00,0.23677,5.49168,5.72844,5.53947,-7.2682,1,62
IOPB-I,43.00,66.25,0.27487,5.48671,5.76158,5.53455,-7.3695,1,63
IOPB-I,43.00,87.50,0.29764,5.48584,5.78348,5.53368,-7.4418,1,64
IOPB-I,43.00,108.75,0.31208,5.48709,5.79917,5.53492,-7.4961,1,64
IOPB-I,43.00,130.00,0.32149,5.48952,5.81101,5.53733,-7.5391,1,64
